id,published_at,title,symbol,name,snippet,highlight,url,sentiment
3,2023-06-15T20:32:38.000000Z,"Wall Street en hausse, optimisme sur les taux",AAPL,Apple Inc.,(Reuters) - La Bourse de New York a clôturé jeudi sur une hausse marquée grâce à la publication d'indicateurs économiques signalant une résistance de l'a...,"<em>Apple</em>, Microsoft et Meta Platforms ont gagné entre 1,1% et 3,2%.

La hausse des cours du brut a parallèlement entraîné celle des valeurs du secteur de l'énergie.",https://www.challenges.fr/finance-et-marche/wall-street-en-hausse-optimisme-sur-les-taux_858867?xtor=RSS-21,-5.106
5,2023-06-15T20:32:32.000000Z,Enthusiasm for Tech Stocks and Optimism About Fed Rate Hikes Lift Markets,AAPL,Apple Inc.,"Key Takeaways Markets jumped on Thursday, June 15, 2023, on enthusiasm for tech shares and optimism about Fed rate hikes.

Microsoft leads the Dow higher as sha...","Shares of <em>Apple</em> (AAPL), Cisco Systems (CSCO), and Salesforce (CRM) added more than 1%. Oracle (ORCL) shares were in the green for the sixth day in a row.",https://www.investopedia.com/tech-stocks-and-fed-rate-optimish-lift-markets-7547497,5.267
1,2023-06-15T20:17:25.000000Z,US STOCKS-S&P 500 leaps to highest close in 14 months; traders bet US rates near peak,AAPL,Apple Inc.,"(For a Reuters live blog on U.S., UK and European stock markets, click or type LIVE/ in a news window)

*

May retail sales rise unexpectedly, jobless claims fl...","Treasury yields slid after a slew of economic data pointed to easing inflation, helping offset worries about future rate hikes and boosting <em>Apple</em> and Microsoft to record highs.

Data showed U.S. retail sales unexpectedly rose in May as consumers spent on a range of goods including vehicles.",https://finance.yahoo.com/news/us-stocks-p-500-leaps-201725132.html?.tsrc=rss,5.574
3,2023-06-15T20:17:25.000000Z,Le S&P 500 atteint son plus haut niveau depuis 14 mois ; les traders parient sur le fait que les taux américains sont proches de leur maximum.,AAPL,Apple Inc.,"(Pour un blog Reuters en direct sur les marchés boursiers américains, britanniques et européens, cliquez ou tapez LIVE/ dans une fenêtre de nouvelles)

* Le...","Les rendements des bons du Trésor ont baissé après qu'une série de données économiques aient indiqué une baisse de l'inflation, aidant à compenser les inquiétudes concernant les futures hausses de taux et stimulant <em>Apple</em> et Microsoft à des niveaux record.",https://www.zonebourse.com/cours/indice/S-P-500-4985/actualite/Le-S-P-500-atteint-son-plus-haut-niveau-depuis-14-mois-les-traders-parient-sur-le-fait-que-les-tau-44124587/,
5,2023-06-15T20:10:00.000000Z,Cleantech and Climate Change Podcast - EV stocks on the move; is Cleantech the New AI for Investors?,AAPL,Apple Inc.,"Vancouver, Kelowna, Delta, BC - June 15, 2023 (Investorideas.com Newswire) Investorideas.com, a global news source and leading investor resource covering cleant...","If you would like to be a guest on this podcast and tell your story please call me at 800 665 0411

Visit the Cleantech and Climate Change Podcast page at Investorideas.com

The Investorideas.com podcasts are also available on iTunes (<em>Apple</em> Podcasts), Amazon, Audible, Spotify, Tunein, Stitcher, Spreaker.com, iHeartRadio, and most audio platforms available",https://www.investorideas.com/news/2023/cleantech-podcasts/06151NIO-MKLA-XPEV-MULN.asp,6.705
1,2023-06-15T20:17:25.000000Z,US STOCKS-S&P 500 leaps to highest close in 14 months; traders bet US rates near peak,AAPL,Apple Inc.,"(For a Reuters live blog on U.S., UK and European stock markets, click or type LIVE/ in a news window)

*

May retail sales rise unexpectedly, jobless claims fl...","Treasury yields slid after a slew of economic data pointed to easing inflation, helping offset worries about future rate hikes and boosting <em>Apple</em> and Microsoft to record highs.

Data showed U.S. retail sales unexpectedly rose in May as consumers spent on a range of goods including vehicles.",https://finance.yahoo.com/news/us-stocks-p-500-leaps-201725132.html?.tsrc=rss,5.574
3,2023-06-15T20:17:25.000000Z,Le S&P 500 atteint son plus haut niveau depuis 14 mois ; les traders parient sur le fait que les taux américains sont proches de leur maximum.,AAPL,Apple Inc.,"(Pour un blog Reuters en direct sur les marchés boursiers américains, britanniques et européens, cliquez ou tapez LIVE/ dans une fenêtre de nouvelles)

* Le...","Les rendements des bons du Trésor ont baissé après qu'une série de données économiques aient indiqué une baisse de l'inflation, aidant à compenser les inquiétudes concernant les futures hausses de taux et stimulant <em>Apple</em> et Microsoft à des niveaux record.",https://www.zonebourse.com/cours/indice/S-P-500-4985/actualite/Le-S-P-500-atteint-son-plus-haut-niveau-depuis-14-mois-les-traders-parient-sur-le-fait-que-les-tau-44124587/,0.0
5,2023-06-15T20:10:00.000000Z,Cleantech and Climate Change Podcast - EV stocks on the move; is Cleantech the New AI for Investors?,AAPL,Apple Inc.,"Vancouver, Kelowna, Delta, BC - June 15, 2023 (Investorideas.com Newswire) Investorideas.com, a global news source and leading investor resource covering cleant...","If you would like to be a guest on this podcast and tell your story please call me at 800 665 0411

Visit the Cleantech and Climate Change Podcast page at Investorideas.com

The Investorideas.com podcasts are also available on iTunes (<em>Apple</em> Podcasts), Amazon, Audible, Spotify, Tunein, Stitcher, Spreaker.com, iHeartRadio, and most audio platforms available",https://www.investorideas.com/news/2023/cleantech-podcasts/06151NIO-MKLA-XPEV-MULN.asp,6.705
1,2023-06-15T19:49:18.000000Z,Microsoft notches record high valuation of nearly $2.6 trillion,AAPL,Apple Inc.,"A Microsoft logo is seen in Issy-les-Moulineaux near Paris

By Chibuike Oguh

NEW YORK (Reuters) -Microsoft Corp shares rose to a new record high close on Thurs...","In addition, <em>Apple</em> <em>Inc</em> shares also achieved a record high close of $186.01 on Thursday, while shares of graphics chipmaker Nvidia set a fresh intraday record of $432.89.

Earlier Thursday, JPMorgan analysts raised their price target on Microsoft's stock, citing AI driving demand for the company's products.",https://finance.yahoo.com/news/microsoft-shares-pace-notch-record-194918338.html?.tsrc=rss,6.369
3,2023-06-15T19:37:40.000000Z,Apple trades to a new all-time high. Microsoft banging against its high too,AAPL,Apple Inc.,Shares of Apple are trading at a new all-time high today. The high price reached $186.49 which took out the high price from June 6 at $184.93. That high from Ju...,"Shares of <em>Apple</em> are trading at a new all-time high today. The high price reached $186.49 which took out the high price from June 6 at $184.93. That high from June 6, took out the January 2022 high price at $182.87. The low price from <em>Apple</em> in 2023 was on the 1st trading day of the year at $124.15

Microsoft has reached a high today of $349.35.",https://www.forexlive.com/news/apple-trades-to-a-new-all-time-high-microsoft-banging-against-its-high-too-20230615/,2.263
